;Year;Month;vivienda;justicia;educación;empleo;medio ambiente;salud;social;ideología;economía;internacional;cultura;inseguridad ciudadana;jóvenes;servicios públicos e infraestructuras;corrupción;fuerzas armadas;tecnologia e investigación;terrorismo;otros
28;2003.0;10.0;0.142153413089;0.0302603800141;0.0218156228008;0.0499648135116;0.106263194933;0.0;0.0225193525686;0.0337790288529;0.185784658691;0.0246305418719;0.027445460943;0.143560872625;0.0253342716397;0.0781140042224;0.0;0.0591133004926;0.0295566502463;0.0197044334975;0.0
29;2003.0;11.0;0.045648204504;0.0377358490566;0.0231284236153;0.0146074254413;0.0;0.0334753499696;0.0;0.0;0.241631162508;0.0279975654291;0.0480827754108;0.00852099817407;0.0;0.245891661595;0.0237370663421;0.162507608034;0.0566037735849;0.030432136336;0.0
30;2003.0;12.0;0.0487804878049;0.0919324577861;0.0206378986867;0.0350218886804;0.0481550969356;0.0;0.0;0.0;0.31832395247;0.0262664165103;0.025641025641;0.0;0.0419011882427;0.116948092558;0.00375234521576;0.129455909944;0.0218886804253;0.0712945590994;0.0
137;2004.0;1.0;0.0323234380569;0.077699005511;0.0456007865041;0.0392228441314;0.075643310472;0.00730688935282;0.0;0.00668058455115;0.29486134993;0.0408993877959;0.0428831433007;0.00897703549061;0.064583161971;0.0714176788468;0.0296423521486;0.0720348443247;0.0149109372899;0.0753132503222;0.0
138;2004.0;2.0;0.024094913183;0.0705822793735;0.0580822304128;0.041323321857;0.0893874172402;0.0109603340292;0.0;0.0100208768267;0.28313004866;0.0482158734386;0.0515042021305;0.0134655532359;0.0759241488352;0.0486524719912;0.042587355615;0.0433243115152;0.0114220657222;0.0773225959335;0.0
139;2004.0;3.0;0.019980650746;0.0670239163047;0.0643229523672;0.0423735607197;0.0962594706243;0.0127870563674;0.0;0.0116910229645;0.277264398025;0.05187411626;0.0558147315454;0.0157098121086;0.0815946422673;0.0372698685635;0.0490598573482;0.0289690451104;0.00967762993834;0.0783272687392;0.0
140;2004.0;4.0;0.0179235195275;0.0652447347703;0.0674433133443;0.0428986801511;0.0996954973163;0.0137004175365;0.0;0.0125260960334;0.274331572708;0.0537032376707;0.0579699962529;0.0168319415449;0.0844298889833;0.0315785668496;0.0522961082148;0.021791411908;0.00880541204641;0.078829605142;0.0
31;2004.0;5.0;0.015866388309;0.0634655532359;0.0705636743215;0.0434237995825;0.103131524008;0.0146137787056;0.0;0.0133611691023;0.27139874739;0.0555323590814;0.0601252609603;0.0179540709812;0.0872651356994;0.0258872651357;0.0555323590814;0.0146137787056;0.00793319415449;0.0793319415449;0.0
32;2004.0;6.0;0.0224782242203;0.0918797415004;0.0250070244451;0.0314695139084;0.0823264962068;0.00871031188536;0.00505760044956;0.00871031188536;0.183759483001;0.0404608035965;0.0292216914864;0.017139645968;0.0915987636977;0.098061253161;0.0264119134588;0.128125878056;0.00168586681652;0.107895476257;0.0
141;2004.0;7.0;0.0112391121101;0.0836428869915;0.0194640690671;0.0470572627547;0.101101376487;0.0176962232281;0.0098760546718;0.00435515594268;0.248492270503;0.0652806724866;0.0173177289605;0.00953656699017;0.070354679606;0.091760711654;0.0360211152754;0.0905517247973;0.000842933408261;0.075409455066;0.0
33;2004.0;9.0;0.0;0.0754060324826;0.0139211136891;0.0626450116009;0.119876256767;0.0266821345708;0.014694508894;0.0;0.313225058005;0.0901005413766;0.00541376643465;0.00193348801237;0.0491105955143;0.0854601701469;0.045630317092;0.0529775715391;0.0;0.0429234338747;0.0
34;2004.0;10.0;0.042735042735;0.0612535612536;0.0548433048433;0.0292022792023;0.0534188034188;0.0178062678063;0.019943019943;0.0327635327635;0.237891737892;0.14245014245;0.0826210826211;0.0;0.0249287749288;0.0633903133903;0.00997150997151;0.0676638176638;0.02849002849;0.0306267806268;0.0
35;2004.0;11.0;0.0;0.212273641851;0.0337022132797;0.00855130784708;0.104124748491;0.0;0.0105633802817;0.0;0.161971830986;0.126257545272;0.0206237424547;0.0206237424547;0.04476861167;0.0321931589537;0.0407444668008;0.104124748491;0.0427565392354;0.0367203219316;0.0
36;2004.0;12.0;0.0172786177106;0.0129589632829;0.0302375809935;0.0142548596112;0.0570194384449;0.0812095032397;0.0;0.0116630669546;0.376673866091;0.0142548596112;0.0181425485961;0.0393088552916;0.0241900647948;0.05313174946;0.0518358531317;0.10626349892;0.0423326133909;0.0492440604752;0.0
142;2005.0;1.0;0.0254910897821;0.0507154065744;0.0151187904968;0.0126808576111;0.0886399375296;0.0555415574414;0.00478743776331;0.00583153347732;0.278915255527;0.0477249020385;0.0138587120614;0.0276973230881;0.0465645842932;0.0809511677212;0.0657494087566;0.0711325154501;0.0294006996484;0.0791988207393;0.0
37;2005.0;2.0;0.0337035618537;0.088471849866;0.0;0.0111068556109;0.120260436614;0.029873611643;0.00957487552662;0.0;0.181156644964;0.0811949444657;0.00957487552662;0.0160857908847;0.0689391037917;0.108770585982;0.0796629643815;0.0360015319801;0.0164687859058;0.109153581003;0.0
