;Year;Month;vivienda;justicia;educación;empleo;medio ambiente;salud;jóvenes;ideología;economía;internacional;cultura;inseguridad ciudadana;social;servicios públicos e infraestructuras;corrupción;fuerzas armadas;tecnologia e investigación;terrorismo;otros
141;2004.0;7.0;0.0112391121101;0.082820869371;0.0125035122225;0.0588515396301;0.171083483438;0.0176962232281;0.070140415017;0.00435515594268;0.136617905175;0.0673405244528;0.00790497256827;0.00953656699017;0.00696055684455;0.0511981541084;0.02051702958;0.0155985055371;0.0;0.0400576993242;0.21557777446
33;2004.0;9.0;0.0;0.0827532869296;0.0;0.0862335653519;0.199149265275;0.0266821345708;0.0413766434648;0.0;0.214230471771;0.0630317092034;0.00541376643465;0.00193348801237;0.0139211136891;0.0549110595514;0.0123743232792;0.0092807424594;0.0;0.0402165506574;0.14849187935
34;2004.0;10.0;0.042735042735;0.0391737891738;0.0769230769231;0.0491452991453;0.0733618233618;0.0178062678063;0.0;0.0327635327635;0.17094017094;0.179487179487;0.0292022792023;0.0;0.0363247863248;0.0413105413105;0.00997150997151;0.0;0.0;0.0;0.200854700855
35;2004.0;11.0;0.0;0.139839034205;0.0176056338028;0.0291750503018;0.110160965795;0.0;0.04476861167;0.0;0.0789738430584;0.112173038229;0.0125754527163;0.0352112676056;0.0160965794769;0.0658953722334;0.0201207243461;0.0125754527163;0.0;0.0367203219316;0.268108651911
36;2004.0;12.0;0.0172786177106;0.0;0.0302375809935;0.0142548596112;0.116630669546;0.0976241900648;0.0103671706263;0.0116630669546;0.171490280778;0.0963282937365;0.0;0.0393088552916;0.0;0.0280777537797;0.0267818574514;0.0241900647948;0.0;0.0401727861771;0.275593952484
142;2005.0;1.0;0.0254910897821;0.0329375718116;0.0151187904968;0.0126808576111;0.131658881307;0.0568549904748;0.0342912069141;0.0144489214513;0.112554791863;0.0803357286377;0.0;0.0276973230881;0.0;0.0540618565911;0.041924057795;0.0120950323974;0.0;0.0233418507676;0.324507049011
37;2005.0;2.0;0.0337035618537;0.0658751436231;0.0;0.0111068556109;0.146687093068;0.0160857908847;0.0582152432018;0.0172347759479;0.0536193029491;0.0643431635389;0.0;0.0160857908847;0.0;0.0800459594025;0.0570662581386;0.0;0.0;0.0065109153581;0.373420145538
38;2005.0;3.0;0.0226055919096;0.0243902439024;0.0226055919096;0.0511600237954;0.104699583581;0.0237953599048;0.0160618679358;0.0;0.109458655562;0.0410469958358;0.0356930398572;0.0261748958953;0.0;0.0922070196312;0.0273646638905;0.0;0.0261748958953;0.0838786436645;0.292682926829
39;2005.0;4.0;0.040765391015;0.0162229617304;0.0557404326123;0.0698835274542;0.1231281198;0.0;0.0611480865225;0.0133111480865;0.10149750416;0.0594841930116;0.0178868552413;0.029534109817;0.0;0.0395174708819;0.0470049916805;0.011231281198;0.0149750415973;0.0262063227953;0.272462562396
40;2005.0;5.0;0.0207219251337;0.0267379679144;0.0715240641711;0.129679144385;0.183823529412;0.0300802139037;0.0681818181818;0.0;0.0;0.0635026737968;0.0;0.0300802139037;0.0227272727273;0.0113636363636;0.0180481283422;0.0;0.0;0.043449197861;0.280080213904
41;2005.0;6.0;0.013855898654;0.0510688836105;0.0142517814727;0.0241488519398;0.176959619952;0.0146476642914;0.0130641330166;0.0126682501979;0.0281076801267;0.104908946952;0.0;0.0530482977039;0.0150435471101;0.0823436262866;0.0387965162312;0.0;0.0170229612035;0.0257323832146;0.314330958036
143;2005.0;7.0;0.012799835448;0.0652141571077;0.0137095206296;0.0314694437635;0.175490486133;0.0210248997613;0.0237918529852;0.0132736268783;0.0491072208463;0.0698921958958;0.0;0.0444956791011;0.0121481080746;0.0808515284458;0.0245584004644;0.0;0.026838882737;0.0167807823546;0.318553379374
42;2005.0;9.0;0.011743772242;0.079359430605;0.0131672597865;0.0387900355872;0.174021352313;0.0274021352313;0.0345195729537;0.0138790035587;0.0701067615658;0.0348754448399;0.0;0.0359430604982;0.00925266903915;0.079359430605;0.0103202846975;0.0;0.0366548042705;0.00782918149466;0.322775800712
43;2005.0;10.0;0.0220994475138;0.024861878453;0.0;0.119337016575;0.181767955801;0.0;0.110497237569;0.0;0.0806629834254;0.0425414364641;0.021546961326;0.0237569060773;0.0;0.060773480663;0.0;0.0182320441989;0.0419889502762;0.0;0.251933701657
44;2005.0;11.0;0.0428730512249;0.0250556792873;0.0935412026726;0.0;0.119153674833;0.0462138084633;0.021714922049;0.0228285077951;0.128062360802;0.0645879732739;0.0;0.0;0.00389755011136;0.0807349665924;0.0857461024499;0.0;0.0;0.00612472160356;0.259465478842
45;2005.0;12.0;0.0;0.0;0.0425798371947;0.0782717595492;0.222917971196;0.0256731371321;0.0363180964308;0.0150281778334;0.100187852223;0.0375704445836;0.0;0.0363180964308;0.0;0.03819661866;0.0344395742016;0.0;0.0244207889793;0.0425798371947;0.265497808391
144;2006.0;1.0;0.016639935846;0.0645549318364;0.0212899185974;0.0437469463343;0.155364358493;0.0495246198892;0.0181590482154;0.019542958203;0.106629611757;0.0398357435428;0.0;0.0388086071569;0.0;0.0535810679507;0.023234221744;0.00441058540497;0.0274469622523;0.0293091647882;0.287921317988
46;2006.0;2.0;0.0332798716921;0.129109863673;0.0;0.00922213311949;0.0878107457899;0.0733761026464;0.0;0.0240577385726;0.113071371291;0.042101042502;0.0;0.0412991178829;0.0;0.0689655172414;0.0120288692863;0.00882117080994;0.0304731355253;0.0160384923817;0.310344827586
47;2006.0;3.0;0.0677029360967;0.0656303972366;0.0134715025907;0.0732297063903;0.0773747841105;0.0131260794473;0.0880829015544;0.0;0.128497409326;0.0369602763385;0.0373056994819;0.0369602763385;0.0;0.0832469775475;0.0234887737478;0.0;0.0145077720207;0.0183074265976;0.222107081174
48;2006.0;4.0;0.0369108461102;0.015332197615;0.0;0.0732538330494;0.164679159568;0.0414537194776;0.0488358886996;0.0;0.076093128904;0.0;0.0;0.023282226008;0.0;0.0795002839296;0.00965360590574;0.0;0.0;0.022714366837;0.408290743896
49;2006.0;5.0;0.0184515195369;0.0647612156295;0.0;0.0687409551375;0.142547033285;0.0705499276411;0.068017366136;0.0151953690304;0.108538350217;0.109623733719;0.0;0.00795947901592;0.0;0.0137481910275;0.0434153400868;0.0;0.0448625180897;0.00578871201158;0.217800289436
50;2006.0;6.0;0.0678336980306;0.121444201313;0.0;0.0;0.199124726477;0.0415754923414;0.054704595186;0.0;0.062363238512;0.0530634573304;0.0;0.0689277899344;0.02352297593;0.089715536105;0.027352297593;0.0454048140044;0.0481400437637;0.0;0.0968271334792
145;2006.0;7.0;0.0339168490153;0.0719024525626;0.0;0.0161290322581;0.183140075848;0.0345340804815;0.0858200395285;0.0104472140762;0.0900159301065;0.045226743328;0.0133797653959;0.0559081764921;0.0196427196365;0.101126096498;0.0334708702041;0.0435968351547;0.0315846846384;0.0146627565982;0.115495678177
51;2006.0;9.0;0.0;0.0223607038123;0.0;0.0322580645161;0.16715542522;0.0274926686217;0.116935483871;0.0208944281525;0.117668621701;0.0373900293255;0.0267595307918;0.0428885630499;0.0157624633431;0.112536656891;0.0395894428152;0.041788856305;0.0150293255132;0.0293255131965;0.134164222874
52;2006.0;10.0;0.0;0.0463733650416;0.0463733650416;0.0814506539834;0.134363852556;0.0315101070155;0.0445897740785;0.0243757431629;0.0969084423306;0.131391200951;0.0214030915577;0.0368608799049;0.0;0.0118906064209;0.0463733650416;0.0184304399524;0.0;0.0541022592152;0.173602853746
53;2006.0;11.0;0.023127753304;0.109030837004;0.0721365638767;0.0;0.189427312775;0.022577092511;0.0479074889868;0.0;0.0330396475771;0.0600220264317;0.0600220264317;0.0;0.0209251101322;0.0655286343612;0.0;0.0;0.0220264317181;0.0269823788546;0.247246696035
54;2006.0;12.0;0.0312954876274;0.114264919942;0.0;0.0;0.122998544396;0.0749636098981;0.0560407569141;0.0;0.0349344978166;0.159388646288;0.0;0.0247452692868;0.0;0.0349344978166;0.0;0.0312954876274;0.0218340611354;0.0;0.293304221252
146;2007.0;1.0;0.0319647601307;0.107443260282;0.0;0.0149572649573;0.169113879813;0.0436978111651;0.0369558873926;0.0238927738928;0.0543747858158;0.112911106361;0.0;0.0446181668889;0.0;0.0343670158081;0.0188422688423;0.057023035189;0.0179100375607;0.010878010878;0.221049935024
55;2007.0;2.0;0.032634032634;0.100621600622;0.0;0.0299145299145;0.215229215229;0.012432012432;0.017871017871;0.0477855477855;0.0738150738151;0.0664335664336;0.0;0.0644910644911;0.0;0.0337995337995;0.0376845376845;0.0827505827506;0.013986013986;0.021756021756;0.148795648796
56;2007.0;3.0;0.0159195643067;0.113950565563;0.0;0.0;0.0741516547968;0.0481776288228;0.0335148722245;0.0159195643067;0.169250104734;0.0632593213238;0.0280687054881;0.0134059488898;0.0276497695853;0.0385421030582;0.0611646418098;0.075827398408;0.0511101801424;0.0125680770842;0.157519899455
57;2007.0;4.0;0.0;0.0246761258482;0.0407156076496;0.0573719925972;0.101172115978;0.0252930289944;0.0166563849476;0.0;0.12029611351;0.0524367674275;0.0;0.0579888957434;0.024059222702;0.0888340530537;0.106107341147;0.0172732880938;0.0;0.0647748303516;0.202344231956
58;2007.0;5.0;0.0382165605096;0.056414922657;0.01728844404;0.0;0.126933575978;0.0350318471338;0.0191082802548;0.033212010919;0.168334849864;0.0195632393085;0.0163785259327;0.0;0.0236578707916;0.18152866242;0.0313921747043;0.0;0.0286624203822;0.0414012738854;0.162875341219
59;2007.0;6.0;0.0220110055028;0.0865432716358;0.0300150075038;0.0725362681341;0.0920460230115;0.0405202601301;0.149074537269;0.0235117558779;0.0945472736368;0.101050525263;0.0120060030015;0.0;0.0;0.0575287643822;0.0;0.0295147573787;0.0185092546273;0.024012006003;0.146573286643
147;2007.0;7.0;0.03709827706;0.0742707437572;0.0413232932256;0.0558934685898;0.0687705583389;0.0394394342577;0.127168847582;0.01933839355;0.112617080173;0.0585538085724;0.0129164716167;0.00334522747547;0.0;0.106150644457;0.0;0.0147573786893;0.00925462731366;0.0307392768641;0.188362468478
60;2007.0;9.0;0.0521855486173;0.0619982158787;0.0526315789474;0.0392506690455;0.0454950936664;0.0383586083854;0.105263157895;0.0151650312221;0.130686886708;0.0160570918822;0.0138269402319;0.00669045495094;0.0;0.154772524532;0.0;0.0;0.0;0.0374665477252;0.230151650312
61;2007.0;10.0;0.0413043478261;0.151630434783;0.0;0.0347826086957;0.0342391304348;0.0;0.0157608695652;0.0195652173913;0.0815217391304;0.0304347826087;0.0184782608696;0.0;0.0;0.141847826087;0.0516304347826;0.0451086956522;0.0619565217391;0.0211956521739;0.250543478261
62;2007.0;11.0;0.0;0.0;0.0802919708029;0.0662549129702;0.0735541830432;0.0651319483436;0.0651319483436;0.0;0.152161706906;0.130825379001;0.0213363279057;0.0213363279057;0.0;0.138686131387;0.0320044918585;0.0398652442448;0.0202133632791;0.0190903986524;0.0741156653565
63;2007.0;12.0;0.0;0.0440835266821;0.0;0.0897138437742;0.0;0.0286156225831;0.0170146945089;0.0340293890178;0.0494972931168;0.135344160866;0.0;0.0;0.0;0.140757927301;0.0889404485692;0.0;0.0;0.0386697602475;0.333333333333
148;2008.0;1.0;0.020035618878;0.0492011578201;0.0140249332146;0.0985078568826;0.0478628673197;0.0232125307929;0.0470202590977;0.0303717737609;0.0447842654364;0.086817227361;0.0;0.00645592163847;0.0138023152271;0.0926407624038;0.0843188440531;0.00623330365093;0.0093499554764;0.0309110154755;0.294449391511
149;2008.0;2.0;0.020035618878;0.0492011578201;0.0140249332146;0.0985078568826;0.0478628673197;0.0232125307929;0.0470202590977;0.0303717737609;0.0447842654364;0.086817227361;0.0;0.00645592163847;0.0138023152271;0.0926407624038;0.0843188440531;0.00623330365093;0.0093499554764;0.0309110154755;0.294449391511
150;2008.0;3.0;0.020035618878;0.0492011578201;0.0140249332146;0.0985078568826;0.0478628673197;0.0232125307929;0.0470202590977;0.0303717737609;0.0447842654364;0.086817227361;0.0;0.00645592163847;0.0138023152271;0.0926407624038;0.0843188440531;0.00623330365093;0.0093499554764;0.0309110154755;0.294449391511
151;2008.0;4.0;0.020035618878;0.0492011578201;0.0140249332146;0.0985078568826;0.0478628673197;0.0232125307929;0.0470202590977;0.0303717737609;0.0447842654364;0.086817227361;0.0;0.00645592163847;0.0138023152271;0.0926407624038;0.0843188440531;0.00623330365093;0.0093499554764;0.0309110154755;0.294449391511
64;2008.0;5.0;0.040071237756;0.0543187889581;0.0280498664292;0.107301869991;0.0957257346394;0.0178094390027;0.0770258236866;0.026714158504;0.040071237756;0.0382902938557;0.0;0.0129118432769;0.0276046304541;0.0445235975067;0.079697239537;0.0124666073019;0.0186999109528;0.0231522707035;0.255565449688
65;2008.0;6.0;0.0;0.0;0.100203114421;0.107650643196;0.1144211239;0.0;0.0683818551117;0.0;0.142180094787;0.0250507786053;0.0;0.0;0.0277589708869;0.08192281652;0.0135409614083;0.0169262017603;0.0;0.0473933649289;0.254570074475
152;2008.0;7.0;0.0;0.0270785659802;0.0893845472945;0.0931083116817;0.0953493872741;0.00228832951945;0.0425814691272;0.0;0.143553815509;0.0125253893026;0.0;0.0137299771167;0.0356186158782;0.117239058908;0.0159237987819;0.0206675249839;0.0;0.057640237003;0.233310971639
66;2008.0;9.0;0.0;0.0541571319603;0.0785659801678;0.0785659801678;0.0762776506484;0.0045766590389;0.0167810831426;0.0;0.144927536232;0.0;0.0;0.0274599542334;0.0434782608696;0.152555301297;0.0183066361556;0.0244088482075;0.0;0.067887109077;0.212051868802
67;2008.0;10.0;0.0491886409736;0.0289046653144;0.0;0.0882352941176;0.0162271805274;0.0197768762677;0.114097363083;0.0162271805274;0.19168356998;0.0;0.0319472616633;0.0324543610548;0.0;0.121703853955;0.0278904665314;0.0;0.0;0.0131845841785;0.248478701826
68;2008.0;11.0;0.0;0.0;0.024595924104;0.174982431483;0.0231904427266;0.0;0.0681658468025;0.0;0.123682361209;0.0836261419536;0.0;0.0;0.0288123682361;0.0513000702741;0.0;0.0541110330288;0.0274068868587;0.0;0.340126493324
69;2008.0;12.0;0.0;0.0243055555556;0.0451388888889;0.124305555556;0.167361111111;0.0;0.0277777777778;0.0;0.0826388888889;0.0520833333333;0.0236111111111;0.0;0.0;0.0888888888889;0.0;0.0;0.0645833333333;0.0430555555556;0.25625
153;2009.0;1.0;0.0;0.0266951216614;0.0225694444444;0.117755857333;0.111482095333;0.0158254918734;0.0168829008649;0.00213857998289;0.148676159586;0.0418671585401;0.0301973434084;0.0;0.00855431993157;0.0927763520578;0.0136869118905;0.0;0.050255738523;0.0407749976238;0.259861526946
70;2009.0;2.0;0.0;0.0290846877673;0.0;0.11120615911;0.0556030795552;0.0316509837468;0.0059880239521;0.00427715996578;0.214713430282;0.0316509837468;0.0367835757057;0.0;0.0171086398631;0.0966638152267;0.027373823781;0.0;0.0359281437126;0.038494439692;0.263473053892
